scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,scale_10,scale_11,scale_12,scale_13,scale_14,scale_15,scale_16,scale_17,scale_18
0.25667244,0.18729277,0.40125436,0.2558289,0.24238858,0.23545048,0.21280155,0.2694581,0.24214163,0.22729206,0.19019786,0.17751236,0.22066891,0.2132659,0.20326981,0.22924814,0.19561206,0.22688472
0.17388709,0.17525767,0.3816596,0.18771902,0.22146209,0.21249929,0.18963763,0.21804965,0.28876832,0.17840768,0.17807521,0.17034365,0.15494627,0.20953639,0.17711806,0.17048147,0.18558897,0.2119229
0.32690388,0.253861,0.6329363,0.3410514,0.31493595,0.32473946,0.28155985,0.35002238,0.4149111,0.29469612,0.29099414,0.28865775,0.26999992,0.3660636,0.3020693,0.23603788,0.3054498,0.32581908
0.25503224,0.25350705,0.52187806,0.27798563,0.31394044,0.26929897,0.2263937,0.305592,0.37446564,0.261756,0.2877881,0.2784789,0.24815463,0.30721655,0.2500244,0.26737642,0.31467962,0.2934743
0.29797816,0.23028144,0.28598797,0.32629418,0.27084503,0.53775424,0.27131104,0.2824701,0.58595204,0.33248195,0.23447256,0.6103306,0.27661717,0.503899,0.56457376,0.23592572,0.2551069,0.28462183
0.852717,0.808206,0.3274765,0.921734,0.83487827,0.3428574,0.9092356,0.8718054,0.36804062,0.8915908,0.78680056,0.32072097,0.8629522,0.37984997,0.3604515,0.7854401,0.80367464,0.82443
0.28482148,0.2782214,0.56204164,0.31228262,0.30454296,0.45448515,0.30295467,0.33084378,0.4309072,0.32138819,0.28752124,0.34605026,0.2894078,0.35551366,0.39036733,0.29123414,0.2620976,0.30184072
0.3628617,0.34007627,0.60430884,0.4002521,0.42071635,0.8053303,0.3552755,0.4087958,0.90533084,0.41177523,0.35379493,0.8223478,0.35803553,0.7389717,0.8044778,0.3510726,0.3301775,0.45029455
0.39261857,0.30150148,0.51974297,0.36398375,0.3184486,0.39875954,0.3656528,0.3591959,0.45608878,0.36215043,0.31368572,0.42662606,0.31898937,0.3987765,0.36680818,0.29808435,0.3178137,0.33747482
0.27453434,0.22590408,0.6408426,0.3014834,0.23619774,0.31183487,0.32472634,0.27808827,0.41984156,0.2996333,0.20924366,0.24940863,0.2591974,0.2662165,0.2607876,0.21852268,0.23809978,0.25794536
0.32148844,0.21494123,0.756667,0.33429927,0.2882703,0.37294304,0.27141204,0.28782773,0.50149906,0.31199712,0.22479458,0.3356716,0.25816002,0.3474725,0.29423043,0.20373641,0.22941093,0.32332227
0.32137734,0.24030122,0.60655886,0.33197707,0.32569203,0.4884158,0.28802735,0.3211072,0.6110958,0.32101738,0.25446808,0.48379362,0.27024692,0.43710712,0.4503871,0.21525249,0.25307402,0.35406825
0.27845192,0.23987156,0.46172523,0.24657989,0.23630044,0.31007054,0.25489298,0.25881052,0.31284767,0.23508751,0.20378637,0.2763339,0.24437127,0.26143718,0.29597938,0.2133356,0.18314861,0.23569363
0.40397018,0.32255292,0.84235424,0.45583278,0.38503617,0.46373826,0.38735253,0.41048592,0.58729124,0.41044658,0.29730672,0.43532795,0.3687646,0.4252881,0.4326239,0.29229748,0.29213738,0.41324374
0.23094925,0.16483271,0.48251015,0.2263286,0.25431895,0.21795288,0.19231549,0.25916415,0.31982732,0.21688545,0.20372225,0.20107703,0.19579355,0.2896901,0.22084413,0.20315538,0.22277305,0.2705503
0.35993913,0.31977138,0.6276138,0.3908643,0.3912502,0.383026,0.32281658,0.39250803,0.54246616,0.35240674,0.30673215,0.3594252,0.30868235,0.4118467,0.3422593,0.29164279,0.31892183,0.36828563
0.30410728,0.2342751,0.6342914,0.33263296,0.2787466,0.3890996,0.2737431,0.29699633,0.54111373,0.33271596,0.25370163,0.3713827,0.29203472,0.4379992,0.39431733,0.2891845,0.27064836,0.29641348
0.357866,0.3139099,0.6971492,0.37506056,0.34304762,0.3638596,0.3149271,0.3599539,0.5167234,0.34576958,0.2862201,0.333009,0.2953055,0.36115706,0.34068698,0.26442537,0.27967748,0.34946886
0.29359937,0.22165324,0.74699146,0.34337333,0.2944993,0.3327984,0.2553927,0.29700166,0.51675284,0.2991548,0.21697555,0.34312528,0.2594976,0.35852462,0.31130052,0.20934889,0.24794075,0.31967807
0.2922605,0.22628017,0.7051781,0.34793782,0.32219702,0.37315392,0.24780439,0.3134297,0.5542362,0.33278984,0.23021919,0.39464766,0.2609344,0.3567616,0.32353336,0.2211484,0.27972177,0.36331037
0.26263303,0.2386639,0.6581801,0.3280833,0.29843396,0.3587616,0.26078346,0.31725138,0.47078973,0.32185054,0.25018167,0.29625928,0.25966427,0.3075911,0.28616208,0.23416145,0.27057272,0.33706135
0.24283649,0.22881457,0.38864416,0.25561824,0.2473033,0.2939455,0.23203263,0.2535233,0.37924147,0.2507304,0.21752039,0.27101505,0.21154585,0.32940152,0.28562534,0.19973382,0.24332589,0.26646155
0.31067565,0.29825062,0.4645477,0.3369314,0.3764347,0.37822407,0.27925003,0.35563603,0.5093615,0.30757523,0.30771497,0.41083682,0.31794322,0.39944136,0.3421671,0.31986266,0.32823431,0.37334523
0.21539421,0.16385938,0.47967428,0.23019668,0.20808376,0.22462504,0.18543598,0.22002293,0.30649713,0.22656402,0.17593163,0.17277923,0.17369252,0.26378876,0.21341428,0.17003073,0.20130077,0.22925346
0.34297353,0.2897775,0.4214898,0.33717996,0.31357297,0.5063668,0.34565765,0.34188935,0.6121872,0.3421887,0.2891762,0.55933356,0.2949942,0.56629735,0.54064476,0.28711432,0.30627736,0.32350087
